,No.,Year,Name,Age,Team,Position
0,450,2014,Eden Hazard,23,Chelsea,Forward
1,74,2014,Alexis Sanchez,25,Arsenal,Forward
2,1508,2014,Sergio Aguero,26,Man City,Forward
3,261,2014,Cesc Fabregas,27,Chelsea,Midfielder
4,1480,2014,Santi Cazorla,29,Arsenal,Midfielder
5,1175,2014,Mesut Ozil,25,Arsenal,Midfielder
6,1201,2014,Mile Jedinak,30,Crystal Palace,Midfielder
7,385,2014,David Silva,28,Man City,Midfielder
8,1351,2014,Phil Jones,22,Man Utd,Defender
9,1217,2014,Morgan Schneiderlin,24,Southampton,Midfielder
10,1259,2014,Nemanja Matic,26,Chelsea,Midfielder
11,544,2014,Francis Coquelin,23,Arsenal,Midfielder
12,1666,2014,Victor Moses,23,Stoke,Midfielder
13,416,2014,Diego Costa,25,Chelsea,Forward
14,1409,2014,Robert Huth,30,Leicester,Defender
15,1720,2014,Yaya Toure,31,Man City,Midfielder
16,718,2014,James Tomkins,25,West Ham,Defender
17,978,2014,Laurent Koscielny,28,Arsenal,Defender
18,519,2014,Federico Fazio,27,Tottenham,Defender
19,560,2014,Gael Clichy,29,Man City,Defender
20,559,2014,Gabriel Paulista,23,Arsenal,Defender
21,197,2014,Boaz Myhill,31,WBA,Goalkeeper
22,284,2014,Chris Smalling,24,Man Utd,Defender
23,824,2014,Jonas Gutierrez,31,Newcastle,Midfielder
24,1354,2014,Philippe Coutinho,22,Liverpool,Midfielder
25,1230,2014,Nacho Monreal,28,Arsenal,Defender
26,93,2014,Ander Herrera,25,Man Utd,Midfielder
27,329,2014,Curtis Davies,29,Hull,Defender
28,54,2014,Aleksandar Kolarov,28,Man City,Defender
29,903,2014,Jussi Jaaskelainen,39,West Ham,Goalkeeper
30,622,2014,Harry Kane,21,Tottenham,Forward
31,115,2014,Andy Carroll,25,West Ham,Forward
32,1682,2014,Wayne Rooney,28,Man Utd,Forward
33,1366,2014,Raheem Sterling,19,Liverpool,Forward
34,999,2014,Leroy Fer,24,QPR,Midfielder
35,1350,2014,Phil Jagielka,32,Everton,Defender
36,738,2014,Jason Shackell,30,Burnley,Defender
37,990,2014,Leighton Baines,29,Everton,Defender
38,1085,2014,Marcos Rojo,24,Man Utd,Defender
39,215,2014,Branislav Ivanovic,30,Chelsea,Defender
40,1135,2014,Mathieu Debuchy,29,Arsenal,Defender
41,260,2014,Cesar Azpilicueta,25,Chelsea,Defender
42,151,2014,Ashley Young,29,Man Utd,Defender
43,135,2014,Antonio Valencia,29,Man Utd,Defender
44,1291,2014,Olivier Giroud,27,Arsenal,Forward
45,358,2014,Danny Rose,24,Tottenham,Defender
46,150,2014,Ashley Williams,30,Swansea,Defender
47,1313,2014,Pablo Zabaleta,29,Man City,Defender
48,1497,2014,Sebastian Coates,23,Sunderland,Defender
49,320,2014,Craig Dawson,24,WBA,Defender
50,1692,2014,Wilfried Bony,25,Swansea,Forward
51,1116,2014,Martin Skrtel,29,Liverpool,Defender
52,705,2014,James Collins,31,West Ham,Defender
53,1300,2014,Oscar,22,Chelsea,Midfielder
54,861,2014,Jose Fonte,30,Southampton,Defender
55,1686,2014,Wes Morgan,30,Leicester,Defender
56,524,2014,Fernandinho,29,Man City,Midfielder
57,274,2014,Cheikhou Kouyate,24,West Ham,Midfielder
58,333,2014,Daley Blind,24,Man Utd,Defender
59,280,2014,Chris Brunt,29,WBA,Midfielder
60,611,2014,Gylfi Sigurdsson,24,Swansea,Midfielder
61,674,2014,Jack Cork,25,Swansea,Midfielder
62,361,2014,Danny Welbeck,23,Arsenal,Forward
63,634,2014,Hector Bellerin,19,Arsenal,Defender
64,710,2014,James McArthur,26,Crystal Palace,Midfielder
65,37,2014,Ahmed El Mohamady,26,Hull,Defender
66,819,2014,John Stones,20,Everton,Defender
67,1562,2014,Steven Caulker,22,QPR,Defender
68,1404,2014,Riyad Mahrez,23,Leicester,Forward
69,1105,2014,Marouane Fellaini,26,Man Utd,Midfielder
70,201,2014,Bojan,24,Stoke,Forward
